coefficients,accuracy,fluxes
"[0.3300452953011085, -0.001989003016710222, -0.16859900364224584, -0.4993666980399355]",0.6,"{'r_2111': 0.08374770604149122, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.4578067877023381, -0.0016096967859708495, -0.13644688922075676, -0.4041366262909343]",0.6,"{'r_2111': 0.0837477060414077, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436361107}"
"[0.3449961543425889, -0.24762842230787618, -0.10282427722276848, -0.3045511461267665]",0.6,"{'r_2111': 0.08374770604149134, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.3320109250184353, -0.2383079942092689, -0.13659286379303168, -0.2930882169792641]",0.6,"{'r_2111': 0.08374770604149134, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.31998870668656254, -0.2296787879972883, -0.13164679392799813, -0.31868571138815105]",0.6,"{'r_2111': 0.08374770604149134, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.3154538454306011, -0.24059573520811003, -0.12978110325585704, -0.3141693161054318]",0.6,"{'r_2111': 0.08374770604137487, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436344054}"
"[0.20561158510343586, -0.2792017213843946, -0.15060577612009027, -0.3645809173920793]",0.6,"{'r_2111': 0.0837477060416633, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436309948}"
"[0.2010260638189209, -0.29527686543219156, -0.14724698682024537, -0.35645008392864214]",0.6,"{'r_2111': 0.08374770604150142, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743637475}"
"[0.2643358670716537, -0.38826938540927625, -0.1936199674579434, -0.15377478006112666]",0.6,"{'r_2111': 0.0837477060413629, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436373613}"
"[0.3381727943871822, -0.34929967476809975, -0.1741867739337192, -0.13834075691099884]",0.6,"{'r_2111': 0.0837477060414911, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.37789715736992713, -0.27286343760909443, -0.194648084687813, -0.15459132033316542]",0.6,"{'r_2111': 0.08374770604149136, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.386121109528118, -0.2788016030936789, -0.19888409574250596, -0.13619319163569715]",0.6,"{'r_2111': 0.08374770604141121, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436379297}"
"[0.07289549149206297, -0.4183613696453087, -0.12652881244009365, -0.38221432642253467]",0.6,"{'r_2111': 0.08374770604185501, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436400898}"
"[0.06604654323768182, -0.3790539267063344, -0.20859642516676047, -0.3463031048892233]",0.6,"{'r_2111': 0.08374770604139327, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436372476}"
"[0.054416504045018535, -0.31230687519353956, -0.347953523075757, -0.28532309768568487]",0.6,"{'r_2111': 0.08374770604079498, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436325865}"
"[0.0652062204687339, -0.37423115128682216, -0.4169458243730654, -0.14361680387137857]",0.6,"{'r_2111': 0.08374770604148589, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436397487}"
"[0.06327600466364018, 0.2823140614629891, 0.2857931579157662, 0.36861677595760456]",0.6,"{'r_2111': 0.0, 'r_1714': -1.0, 'r_1761': 1.1193548387095689, 'r_1808': 0.7548387096775286, 'r_1654': 0.0}"
"[0.240235661430634, 0.01569764121067643, -0.38052545198349874, -0.36354124537519084]",0.6,"{'r_2111': 0.08374770604147122, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436381571}"
"[0.22847225488251469, -0.06389510175320656, -0.3618925996961574, -0.34574004366812133]",0.6,"{'r_2111': 0.08374770604149197, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.2594252536365461, -0.0725514920268208, -0.4109211401342447, -0.25710211420238843]",0.6,"{'r_2111': 0.08374770604165295, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436408856}"
"[0.22029157125447205, -0.3944325664312025, -0.1930348137730794, -0.19224104854124602]",0.6,"{'r_2111': 0.08374770604149254, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436375887}"
"[0.1034930845563693, -0.45351763613826457, -0.22195097434995076, -0.22103830495541538]",0.6,"{'r_2111': 0.0837477060415889, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436382708}"
"[0.11601738183550915, -0.5084004306812633, -0.12779475766400578, -0.24778742981922178]",0.6,"{'r_2111': 0.08374770604171314, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436358834}"
"[0.14346094076805452, -0.6286610068121267, -0.1580242190407068, -0.06985383337911197]",0.6,"{'r_2111': 0.0837477060414702, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.598775743637816}"
"[0.09482356518588025, -0.41552688585564473, -0.44347816957502956, -0.046171379383445454]",0.6,"{'r_2111': 0.08374770604149002, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
"[0.06836211027390848, -0.2995699933550613, -0.3197211945483108, -0.3123467018227194]",0.6,"{'r_2111': 0.08374770604149136, 'r_1714': -1.0, 'r_1761': 0.0, 'r_1808': 0.0, 'r_1654': -0.5987757436377024}"
