coefficients,accuracy,fluxes
"[0.3776220368058041, -0.27317173504543935, -0.04729771216044777, -0.27810484143350905, 0.02380367455479971]",1.0,{'r_2111': 0.08374711434088163}
"[0.3913279289776768, -0.28308657575920204, -0.04901439519179518, -0.2519034648231777, 0.024667635248148263]",1.0,{'r_2111': 0.08374711434088163}
"[0.2940831766336577, -0.21273973385722686, -0.28533373959406116, -0.18930560702313395, 0.01853774289192032]",1.0,{'r_2111': 0.08374711434088344}
"[0.2781350708170794, -0.2554327915606698, -0.2698601150087462, -0.17903957995203287, 0.017532442661471734]",1.0,{'r_2111': 0.08374711434088229}
"[0.3318834380504055, -0.3047940441488618, -0.1287638247965068, -0.21363818366026896, 0.02092050934395696]",1.0,{'r_2111': 0.08374711434088325}
"[0.22109130097660284, -0.35533729579357554, -0.15011641525672947, -0.2490652816792408, 0.024389706293851336]",1.0,{'r_2111': 0.08374711434088306}
"[0.2916560285977351, -0.14958316648641218, -0.1980284041376168, -0.32855834035655224, 0.03217406042168365]",1.0,{'r_2111': 0.08374711434088274}
"[0.2255339551482591, -0.34238331054176785, -0.1531328854458708, -0.25407005078494216, 0.02487979807916005]",1.0,{'r_2111': 0.0837471143408829}
"[0.2108346845665407, -0.34888170379964323, -0.15603932883753566, -0.25889226919984215, 0.025352013596438284]",1.0,{'r_2111': 0.08374711434088303}
"[0.17425660666797116, -0.28835360727128745, -0.3024595406569375, -0.2139765969536063, 0.020953648450197638]",1.0,{'r_2111': 0.08374711434088278}
"[0.1761885267899708, -0.29155047966993364, -0.2947261612741894, -0.21634887827594, 0.02118595398996621]",1.0,{'r_2111': 0.0837471143408733}
"[0.1962516318088618, -0.32475018908630693, -0.32828749488195336, -0.1271122234280119, 0.023598460794866067]",1.0,{'r_2111': 0.08374711434088247}
"[0.2857399479142878, -0.28859291807167853, -0.29173638476079616, -0.11295971092389397, 0.02097103832934353]",1.0,{'r_2111': 0.08374711434063792}
"[0.37660816084456783, -0.06235822224901765, -0.38451152566586166, -0.14888204918880557, 0.027640042051747322]",1.0,{'r_2111': 0.08374711433849545}
"[0.60046402222369, -0.09942394468137301, -0.018665224613839005, -0.23737752759349148, 0.044069280887606456]",1.0,{'r_2111': 0.08374711433849545}
"[0.5195468168070471, -0.22078358483376911, -0.01614994016993081, -0.20538905626019668, 0.03813060192905635]",1.0,{'r_2111': 0.08374711434083809}
"[0.5244889165273648, -0.22288375070440894, -0.006791235721691209, -0.20734278432600992, 0.03849331272052507]",1.0,{'r_2111': 0.08374711434088465}
"[0.41186694870359103, -0.1750245761646085, -0.0053329735795739205, -0.37754774505230704, 0.0302277564999195]",1.0,{'r_2111': 0.08374711434088465}
"[0.49670863736859655, -0.00508545314045267, -0.006431528551078885, -0.45531991964103585, 0.03645446129883605]",1.0,{'r_2111': 0.08374711434146571}
"[0.37218289356683976, -0.0038105209422957995, -0.25552092144065314, -0.3411704014014708, 0.027315262648740422]",1.0,{'r_2111': 0.08374711434092896}
"[0.38359671659931355, -0.00392737911189109, -0.26335704348932676, -0.32096591436851457, 0.028152946430954003]",1.0,{'r_2111': 0.08374711434092896}
"[0.345746968584257, -0.0035398619530830093, -0.33604210327861367, -0.28929599005849965, 0.025375076125546646]",1.0,{'r_2111': 0.08374711434088122}
"[0.33201988490888, -0.0033993199219316582, -0.3227003288328572, -0.31751284891583326, 0.024367617420497856]",1.0,{'r_2111': 0.08374711434088324}
"[0.48648043416592024, -0.004980733704982819, -0.007610528567428559, -0.46522451098440704, 0.035703792577261355]",1.0,{'r_2111': 0.08374711434088088}
"[0.40252940229300826, -0.17668937453061684, -0.006297193679810051, -0.38494157459730605, 0.029542454899258837]",1.0,{'r_2111': 0.08374711434118953}
"[0.27676266517720016, -0.12148434853459501, -0.31677081101507426, -0.26466999805770197, 0.02031217721542854]",1.0,{'r_2111': 0.08374711434088274}
"[0.27346296130177594, -0.12003595095030982, -0.3129941098763622, -0.2734369726623554, 0.020070005209196627]",1.0,{'r_2111': 0.08374711434088274}
"[0.19245186930467956, -0.13342032497041204, -0.3478939061416359, -0.3039260276834834, 0.022307871899789077]",1.0,{'r_2111': 0.08374711434107997}
"[0.2681662465743816, -0.18591052346395504, -0.0913424525826272, -0.42349654682288695, 0.031084230556149218]",1.0,{'r_2111': 0.08374711434109772}
"[0.270503745875196, -0.18753103210052757, -0.09213864868028687, -0.4184713938219674, 0.031355179522022145]",1.0,{'r_2111': 0.08374711434088274}
